"Number","Name","Meaning"
"1","ॐ अजाय नमः
om ajāya namaḥ","salutations to the unborn"
"2","ॐ अव्ययाय नमः
om avyayāya namaḥ","salutations to the imperishable"
"3","ॐ अविनाशिने नमः
om avināśine namaḥ","salutations to the indestructible"
"4","ॐ अचिन्त्याय नमः
om acintyāya namaḥ","salutations to the unthinkable"
"5","ॐ अप्रमेयाय नमः
om aprameyāya namaḥ","salutations to the immeasurable"
"6","ॐ अद्वितीयाय नमः
om advitīyāya namaḥ","salutations to the one without a second"
"7","ॐ अनिकेताय नमः
om aniketāya namaḥ","salutations to the one who has no abode"
"8","ॐ अनुशासनप्रियाय नमः
om anuśāsana-priyāya namaḥ","salutations to the one who loves discipline"
"9","ॐ अन्तःसाक्षिणे नमः
om antaḥsākṣiṇe namaḥ","salutations to the inner witness"
"10","ॐ अन्तर्यामिने नमः
om antaryāmine namaḥ","salutations to the inner controller"
"11","ॐ आनन्दाय नमः
om ānandāya namaḥ","salutations to the blissful one"
"12","ॐ आत्मस्वरूपाय नमः
om ātma-svarūpāya namaḥ","salutations to the one who is the nature of the self"
"13","ॐ आङ्ग्लभाषा विदुत्तमाय नमः
om āṅglabhāṣā viduttamāya namaḥ","salutations to the one who is most eloquent in English"
"14","ॐ ईश्वराय नमः
om īśvarāya namaḥ","salutations to the one who is the Supreme Lord"
"15","ॐ उदारहृदयाय नमः
om udārahṛdayāya namaḥ","salutations to the large-hearted one"
"16","ॐ उत्साहवर्धकाय नमः
om utsāhavardhakāya namaḥ","salutations to the one who inspires"
"17","ॐ एकस्मै नमः
om ekasmai namaḥ","salutations to the one (Supreme)"
"18","ॐ ओङ्कारविदे नमः
om oṅkāravide namaḥ","salutations to the knower of OM"
"19","ॐ करुणासागराय नमः
om karuṇā-sāgarāya namaḥ","salutations to the ocean of compassion"
"20","ॐ कर्मपरायणाय नमः
om karma-parāyaṇāya namaḥ","salutations to the one engaged in action (service)"
"21","ॐ कालातीताय नमः
om kālātītāya namaḥ","salutations to the one who is beyond time"
"22","ॐ कैवल्यस्वरूपाय नमः
om kaivalya-svarūpāya namaḥ","salutations to the one whose nature is Absolute Oneness"
"23","ॐ कृतात्मने नमः
om kṛtātmane namaḥ","salutations to the self-made one"
"24","ॐ कृतकृत्याय नमः
om kṛtakṛtyāya namaḥ","salutations to the ever-fulfilled one"
"25","ॐ गीताज्ञानयज्ञप्रचारकाय नमः
om gītā-jñāna-yajña-pracārakāya namaḥ","salutations to the propagator of the knowledge of shrimad bhagavad gita"
"26","ॐ गुरवे नमः
om gurave namaḥ","salutations to the one who is a guru"
"27","ॐ गुणातीताय नमः
om guṇātītāya namaḥ","salutations to the one who is beyond all attributes"
"28","ॐ ग्रन्थकृते नमः
om grantha-kṛte namaḥ","salutations to the one who has authored many scriptural texts and commentaries"
"29","ॐ चिन्मयाय नमः
om cinmayāya namaḥ","salutations to the one who is pure consciousness"
"30","ॐ छिन्नसंशयाय नमः
om chinna-saṁśayāya namaḥ","salutations to the one who has cut asunder all doubts"
"31","ॐ जगदात्मने नमः
om jagadātmane namaḥ","salutations to the one for whom the world is the self"
"32","ॐ जगत्साक्षिणे नमः
om jagat-sākṣiṇe namaḥ","salutations to the witness of (all happenings in) the world"
"33","ॐ जनप्रियाय नमः
om janapriyāya namaḥ","salutations to the one loved by all people"
"34","ॐ जितेन्द्रियाय नमः
om jitendriyāya namaḥ","salutations to the one who conquered all the sense organs"
"35","ॐ जीवब्रह्मैक्यविदे नमः
om jīvabrahmaikyavide namaḥ","salutations to the knower of the oneness of the individual (jiva) and the supreme (brahman)"
"36","ॐ जीवन्मुक्ताय नमः
om jīvanmuktāya namaḥ","salutations to the one who is liberated"
"37","ॐ जीर्णमन्दिरोद्धारकाय नमः
om jīrṇamandiroddhārakāya namaḥ","salutations to the renovator of dilapidated temples (rejuvenator of hindu culture)"
"38","ॐ तपोवनशिष्याय नमः
om tapovana-śiṣyāya namaḥ","salutations to the disciple of swami tapovanji maharaj"
"39","ॐ तपस्विने नमः
om tapasvine namaḥ","salutations to the austere ascetic"
"40","ॐ तापनाशनाय नमः
om tāpa-nāśanāya namaḥ","salutations to the destroyer of sorrows"
"41","ॐ तीर्थस्वरूपाय नमः
om tīrtha-svarūpāya namaḥ","salutations to the one who is a sacred place of pilgrimage in himself"
"42","ॐ तेजस्विने नमः
om tejasvine namaḥ","salutations to the brilliant one"
"43","ॐ देहातीताय नमः
om dehātītāya namaḥ","salutations to the one who is beyond the body"
"44","ॐ द्वन्द्वातीताय नमः
om dvandvātītāya namaḥ","salutations to the one who is beyond the pairs of opposites"
"45","ॐ दृढनिश्चयाय नमः
om dṛḍha-niścayāya namaḥ","salutations to the firm and determined one"
"46","ॐ धर्मसंस्थापकाय नमः
om dharma-saṁsthāpakāya namaḥ","salutations to the one who establishes dharma"
